Name,Right Ascension,Declination,Apparent Magnitude,Constellation
HD 42659,06h 11m 21.75s,-15° 47′ 35.0″,6.77,Lepus
4 Monocerotis,06h 08m 25.39s,-11° 08′ 46.6″,6.9,Lepus
HD 37847,05h 40m 39.72s,-20° 17′ 55.6″,7.0,Lepus
T Leporis,05h 04m 50.85s,-21° 54′ 16.5″,7.4,Lepus
HD 31527,04h 55m 38s,-23° 14′ 31″,7.48,Lepus
R Leporis,04h 59m 36.50s,-14° 48′ 21.0″,7.71,Lepus
HD 33283,05h 08m 01.01s,-26° 47′ 50.9″,8.05,Lepus
HD 33142,05h 07m 36s,-13° 59′ 11″,8.13,Lepus
Gliese 229,06h 10m 34.62s,-21° 51′ 52.7″,8.14,Lepus
RY Leporis,05h 48m 10.25s,-20° 01′ 25.0″,8.25,Lepus
HD 32450,05h 02m 28.42s,-21° 15′ 23.9″,8.32,Lepus
RS Leporis,05h 59m 18.42s,-20° 13′ 25.1″,9.88,Lepus
U Leporis,04h 56m 17.99s,-21° 13′ 02.0″,10.52,Lepus
Beta Librae,15h 17m 00.47s,-09° 22′ 58.3″,2.61,Libra
Alpha Librae,14h 50m 52.78s,-16° 02′ 29.8″,2.75,Libra
Sigma Librae,15h 04m 04.26s,-25° 16′ 54.7″,3.25,Libra
Upsilon Librae,15h 37m 01.46s,-28° 08′ 06.3″,3.6,Libra
Tau Librae,15h 38m 39.38s,-29° 46′ 39.7″,3.66,Libra
Gamma Librae,15h 35m 31.54s,-14° 47′ 22.4″,3.91,Libra
Theta Librae,15h 53m 49.48s,-16° 43′ 46.6″,4.13,Libra
16 Librae,14h 57m 11.06s,-04° 20′ 45.9″,4.47,Libra
Iota1 Librae,15h 12m 13.31s,-19° 47′ 29.9″,4.54,Libra
37 Librae,15h 34m 10.52s,-10° 03′ 50.3″,4.61,Libra
Kappa Librae,15h 41m 56.82s,-19° 40′ 42.9″,4.75,Libra
Delta Librae,15h 00m 58.39s,-08° 31′ 08.2″,4.91,Libra
Epsilon Librae,15h 24m 11.93s,-10° 19′ 18.8″,4.92,Libra
11 Librae,14h 51m 01.02s,-02° 17′ 55.9″,4.93,Libra
48 Librae,15h 58m 11.38s,-14° 16′ 45.5″,4.95,Libra
42 Librae,15h 40m 16.91s,-23° 49′ 05.0″,4.97,Libra
Lambda Librae,15h 53m 20.06s,-20° 10′ 01.2″,5.03,Libra
36 Librae,15h 34m 37.31s,-28° 02′ 48.9″,5.13,Libra
Alpha Librae,14h 50m 41.26s,-15° 59′ 49.5″,5.15,Libra
HR 5780,15h 34m 26.53s,-09° 11′ 00.1″,5.16,Libra
Nu Librae,15h 06m 37.62s,-16° 15′ 24.3″,5.19,Libra
12 Librae,14h 54m 20.14s,-24° 38′ 31.7″,5.27,Libra
Mu Librae,14h 49m 19.09s,-14° 08′ 56.3″,5.32,Libra
HD 126218,14h 24m 48.66s,-24° 48′ 22.6″,5.34,Libra
41 Librae,15h 38m 54.51s,-19° 18′ 06.2″,5.36,Libra
Eta Librae,15h 44m 04.42s,-15° 40′ 21.6″,5.41,Libra
49 Librae,16h 00m 19.98s,-16° 31′ 56.6″,5.47,Libra
Xi2 Librae,14h 56m 46.11s,-11° 24′ 35.0″,5.48,Libra
HD 138413,15h 32m 36.71s,-19° 40′ 13.3″,5.5,Libra
HD 132833,15h 01m 19.81s,-02° 45′ 17.5″,5.52,Libra
HD 135534,15h 16m 23.03s,-22° 23′ 57.9″,5.52,Libra
Zeta4 Librae,15h 32m 55.23s,-16° 51′ 10.1″,5.53,Libra
30 Serpentis,15h 48m 56.81s,-03° 49′ 06.7″,5.53,Libra
50 Librae,16h 00m 47.64s,-08° 24′ 40.8″,5.53,Libra
HD 136479,15h 21m 07.64s,-05° 49′ 29.4″,5.54,Libra
Zeta1 Librae,15h 28m 15.40s,-16° 42′ 59.1″,5.64,Libra
HD 130529,14h 49m 18.76s,-24° 15′ 05.3″,5.68,Libra
4 Librae,14h 43m 13.57s,-24° 59′ 51.8″,5.7,Libra
Gliese 570,14h 57m 27.35s,-21° 24′ 55.7″,5.72,Libra
HD 136956,15h 23m 52.26s,-12° 22′ 09.9″,5.72,Libra
HD 134373,15h 10m 18.65s,-26° 19′ 57.4″,5.75,Libra
Xi1 Librae,14h 54m 22.91s,-11° 53′ 54.0″,5.78,Libra
HD 139254,15h 37m 48.06s,-23° 08′ 29.5″,5.79,Libra
HD 129944,14h 46m 06.75s,-23° 09′ 10.3″,5.8,Libra
Zeta3 Librae,15h 30m 40.39s,-16° 36′ 34.0″,5.82,Libra
HD 139329,15h 38m 16.24s,-21° 00′ 58.2″,5.82,Libra
HD 135051,15h 13m 53.32s,-26° 11′ 36.8″,5.84,Libra
18 Librae,14h 58m 53.64s,-11° 08′ 37.9″,5.88,Libra
47 Librae,15h 55m 00.37s,-19° 22′ 58.4″,5.95,Libra
HD 130157,14h 47m 13.66s,-21° 19′ 29.6″,6.05,Libra
Iota2 Librae,15h 13m 19.22s,-19° 38′ 50.8″,6.07,Libra
HD 132375,14h 58m 52.99s,-04° 59′ 20.4″,6.08,Libra
HD 142703,15h 56m 33.33s,-14° 49′ 45.7″,6.12,Libra
HD 133670,15h 06m 27.10s,-22° 01′ 54.1″,6.13,Libra
Omicron Librae,15h 21m 01.36s,-15° 32′ 54.2″,6.14,Libra
HD 130557,14h 48m 54.10s,-00° 50′ 51.7″,6.15,Libra
28 Librae,15h 20m 53.68s,-18° 09′ 30.6″,6.16,Libra
26 Librae,15h 14m 33.77s,-17° 46′ 06.7″,6.18,Libra
HD 139160,15h 37m 28.51s,-26° 16′ 47.3″,6.19,Libra
HD 128429,14h 37m 00.30s,-12° 18′ 22.4″,6.2,Libra
HD 138105,15h 30m 36.25s,-20° 43′ 42.5″,6.2,Libra
HD 141853,15h 51m 38.41s,-14° 08′ 00.8″,6.2,Libra
2 Librae,14h 23m 25.63s,-11° 42′ 50.0″,6.22,Libra
HD 140986,15h 46m 45.43s,-06° 07′ 13.3″,6.24,Libra
HD 138488,15h 33m 09.53s,-24° 29′ 25.2″,6.26,Libra
10 Librae,14h 51m 51.31s,-18° 21′ 19.2″,6.27,Libra
HD 135367,15h 14m 50.61s,-05° 30′ 09.3″,6.28,Libra
HD 138268,15h 31m 43.45s,-20° 09′ 53.4″,6.28,Libra
HD 140301,15h 43m 24.86s,-15° 02′ 34.8″,6.3,Libra
HD 139290,15h 38m 15.80s,-28° 12′ 23.8″,6.32,Libra
HD 142640,15h 56m 14.41s,-14° 23′ 57.2″,6.32,Libra
5 Librae,14h 45m 57.78s,-15° 27′ 34.4″,6.33,Libra
HD 139518,15h 39m 21.39s,-23° 09′ 00.6″,6.33,Libra
HD 130325,14h 47m 54.92s,-12° 50′ 23.2″,6.34,Libra
HD 132953,15h 02m 08.59s,-07° 34′ 31.1″,6.38,Libra
22 Librae,15h 06m 49.10s,-16° 29′ 03.6″,6.41,Libra
HD 129980,14h 46m 10.92s,-21° 10′ 32.6″,6.43,Libra
HD 137798,15h 28m 58.69s,-28° 52′ 00.5″,6.43,Libra
23 Librae,15h 13m 28.93s,-25° 18′ 33.0″,6.45,Libra
HD 139461,15h 38m 40.07s,-08° 47′ 29.1″,6.45,Libra
30 Librae,15h 23m 01.78s,-15° 08′ 02.7″,6.46,Libra
HD 134946,15h 13m 17.43s,-24° 00′ 29.8″,6.47,Libra
HD 126251,14h 24m 40.90s,-11° 40′ 10.7″,6.49,Libra
HD 126363,14h 25m 17.63s,-13° 21′ 11.4″,6.49,Libra
HD 127964,14h 34m 50.72s,-20° 26′ 21.8″,6.49,Libra
HD 134758,15h 12m 12.04s,-19° 06′ 23.1″,6.49,Libra
HD 140722,15h 46m 12.89s,-28° 03′ 41.1″,6.49,Libra
HD 136646,15h 22m 45.19s,-29° 20′ 30.9″,6.5,Libra
17 Librae,14h 58m 13.42s,-11° 09′ 17.1″,6.61,Libra
33 Librae,15h 29m 34.78s,-17° 26′ 27.4″,6.69,Libra
HD 141569,15h 49m 57.75s,-03° 55′ 16.3″,7.12,Libra
3 Librae,14h 39m 22.01s,-25° 01′ 43.0″,7.2,Libra
HD 140283,15h 43m 03.10s,-10° 56′ 00.6″,7.21,Libra
FY Librae,14h 57m 46.55s,-12° 26′ 15.3″,7.23,Libra
Alpha Librae,14h 40m 31.11s,-16° 12′ 33.4″,7.23,Libra
ES Librae,15h 16m 48.61s,-13° 02′ 21.1″,7.25,Libra
HD 141937,15h 52m 17.55s,-18° 26′ 09.8″,7.25,Libra
HD 134796,15h 12m 20.95s,-16° 24′ 39.86″,7.28,Libra
HD 136905,15h 23m 26.06s,-06° 36′ 37.8″,7.31,Libra
HD 134214,15h 09m 02.41s,-13° 59′ 58.7″,7.48,Libra
HM Librae,15h 27m 48.32s,-25° 10′ 10.1″,7.54,Libra
HD 134701,15h 11m 51.55s,-16° 36′ 40.16″,7.7,Libra
HD 133803,15h 07m 15.0s,-29° 30′ 16″,8.12,Libra
HD 133131,15h 03m 35.8s,-27° 50′ 28″,8.4,Libra
HD 133131,15h 03m 35.8s,-27° 50′ 28″,8.42,Libra
HD 128598,14h 38m 11.78s,-14° 57′ 17.2″,8.76,Libra
UZ Librae,15h 32m 23.21s,-08° 32′ 00.9″,9.12,Libra
HD 134440,15h 10m 12.97s,-16° 27′ 47.5″,9.43,Libra
EH Librae,14h 58m 55.92s,-00° 56′ 53.1″,9.83,Libra
VZ Librae,15h 31m 51.76s,-15° 41′ 10.2″,10.27,Libra
Gliese 581,15h 19m 26.82s,-07° 43′ 20.2″,10.55,Libra
WASP-109,15h 28m 13.0s,-16° 24′ 39″,11.4,Libra
HE 1523-0901,15h 26m 01.07s,-09° 11′ 38.9″,11.5,Libra
HP Librae,15h 35m 53.08s,-14° 13′ 12.2″,13.65,Libra
2MASS 1507-1627,15h 07m 47.69s,-16° 27′ 38.6″,22.14,Libra
Alpha Lupi,14h 41m 55.77s,-47° 23′ 17.3″,2.3,Lupus
Beta Lupi,14h 58m 31.95s,-43° 08′ 01.9″,2.68,Lupus
Gamma Lupi,15h 35m 08.46s,-41° 10′ 00.1″,2.8,Lupus
Delta Lupi,15h 21m 22.34s,-40° 38′ 50.9″,3.22,Lupus
Epsilon Lupi,15h 22m 40.89s,-44° 41′ 22.5″,3.37,Lupus
Zeta Lupi,15h 12m 17.20s,-52° 05′ 56.7″,3.41,Lupus
Eta Lupi,16h 00m 07.34s,-38° 23′ 47.9″,3.42,Lupus
Iota Lupi,14h 19m 24.23s,-46° 03′ 29.1″,3.55,Lupus
Phi1 Lupi,15h 21m 48.44s,-36° 15′ 40.2″,3.57,Lupus
Kappa1 Lupi,15h 11m 56.16s,-48° 44′ 15.7″,3.88,Lupus
Pi Lupi,15h 05m 07.11s,-47° 03′ 04.3″,3.91,Lupus
Chi Lupi,15h 50m 57.54s,-33° 37′ 37.6″,3.97,Lupus
Rho Lupi,14h 37m 53.25s,-49° 25′ 32.7″,4.05,Lupus
Lambda Lupi,15h 08m 50.63s,-45° 16′ 47.3″,4.07,Lupus
Theta Lupi,16h 06m 35.56s,-36° 48′ 08.0″,4.22,Lupus
Mu Lupi,15h 18m 32.05s,-47° 52′ 30.7″,4.27,Lupus
Omicron Lupi,14h 51m 38.32s,-43° 34′ 31.1″,4.32,Lupus
Tau2 Lupi,14h 26m 10.80s,-45° 22′ 45.3″,4.33,Lupus
Omega Lupi,15h 38m 03.32s,-42° 34′ 02.9″,4.34,Lupus
2 Lupi,15h 17m 49.84s,-30° 08′ 55.2″,4.35,Lupus
Sigma Lupi,14h 32m 37.08s,-50° 27′ 25.6″,4.44,Lupus
Phi2 Lupi,15h 23m 09.36s,-36° 51′ 30.4″,4.54,Lupus
KT Lupi,15h 35m 53.27s,-44° 57′ 30.0″,4.55,Lupus
Tau1 Lupi,14h 26m 08.24s,-45° 13′ 17.0″,4.56,Lupus
HD 137058,15h 25m 20.25s,-38° 44′ 00.9″,4.6,Lupus
HD 139664,15h 41m 11.52s,-44° 39′ 38.0″,4.64,Lupus
Psi1 Lupi,15h 39m 45.97s,-34° 24′ 42.8″,4.66,Lupus
Psi2 Lupi,15h 42m 41.04s,-34° 42′ 37.2″,4.75,Lupus
HD 125442,14h 20m 42.55s,-45° 11′ 12.8″,4.78,Lupus
HD 134687,15h 12m 49.60s,-44° 30′ 01.3″,4.83,Lupus
HD 143699,16h 03m 24.20s,-38° 36′ 08.9″,4.9,Lupus
1 Lupi,15h 14m 37.33s,-31° 31′ 08.9″,4.91,Lupus
Nu1 Lupi,15h 22m 08.39s,-47° 55′ 38.9″,4.99,Lupus
HD 143009,15h 59m 30.30s,-41° 44′ 39.8″,4.99,Lupus
HD 133340,15h 05m 19.15s,-41° 04′ 02.0″,5.13,Lupus
Xi1 Lupi,15h 56m 53.48s,-33° 57′ 57.7″,5.14,Lupus
HD 135345,15h 16m 04.03s,-41° 29′ 28.1″,5.15,Lupus
HD 129893,14h 47m 01.31s,-52° 22′ 59.9″,5.22,Lupus
HD 139980,15h 42m 38.35s,-37° 25′ 29.6″,5.23,Lupus
HD 137709,15h 29m 24.28s,-46° 43′ 57.7″,5.26,Lupus
Upsilon Lupi,15h 24m 45.03s,-39° 42′ 36.5″,5.36,Lupus
HD 126983,14h 30m 20.99s,-49° 31′ 08.1″,5.38,Lupus
HD 131562,14h 56m 17.23s,-52° 48′ 34.4″,5.38,Lupus
HD 128266,14h 37m 20.17s,-46° 08′ 00.3″,5.39,Lupus
HD 138816,15h 36m 12.14s,-44° 23′ 48.1″,5.44,Lupus
HD 132955,15h 02m 59.29s,-32° 38′ 35.7″,5.45,Lupus
HD 134270,15h 11m 15.98s,-55° 20′ 45.7″,5.45,Lupus
HD 137432,15h 27m 18.14s,-36° 46′ 03.0″,5.46,Lupus
HD 126981,14h 30m 08.66s,-45° 19′ 16.6″,5.51,Lupus
HD 128068,14h 36m 19.06s,-46° 14′ 43.8″,5.54,Lupus
HD 125383,14h 20m 09.71s,-43° 03′ 31.9″,5.55,Lupus
GG Lupi,15h 18m 56.39s,-40° 47′ 17.4″,5.59,Lupus
Xi2 Lupi,15h 56m 54.11s,-33° 57′ 51.0″,5.59,Lupus
HD 140784,15h 46m 44.23s,-34° 40′ 56.6″,5.61,Lupus
HD 131657,14h 56m 32.08s,-47° 52′ 44.9″,5.62,Lupus
Nu2 Lupi,15h 21m 49.57s,-48° 19′ 01.1″,5.65,Lupus
Kappa2 Lupi,15h 11m 57.77s,-48° 44′ 36.9″,5.7,Lupus
HD 144415,16h 07m 16.17s,-36° 45′ 19.9″,5.72,Lupus
HD 129858,14h 46m 29.03s,-47° 26′ 27.9″,5.74,Lupus
HD 133880,15h 08m 12.15s,-40° 35′ 01.9″,5.79,Lupus
HD 133631,15h 07m 25.93s,-49° 05′ 19.1″,5.77,Lupus
HD 142691,15h 57m 21.33s,-36° 11′ 07.1″,5.78,Lupus
HD 138505,15h 34m 01.74s,-40° 03′ 58.9″,5.82,Lupus
HD 126504,14h 27m 12.30s,-46° 08′ 02.6″,5.83,Lupus
HD 133937,15h 08m 39.21s,-42° 52′ 04.3″,5.85,Lupus
HD 127501,14h 33m 29.97s,-52° 40′ 46.1″,5.86,Lupus
HD 127486,14h 33m 32.47s,-54° 59′ 55.0″,5.86,Lupus
HD 143928,16h 04m 36.91s,-37° 51′ 45.6″,5.91,Lupus
HD 140285,15h 44m 22.69s,-41° 49′ 08.5″,5.93,Lupus
HD 135235,15h 15m 53.66s,-48° 04′ 25.1″,5.96,Lupus
HD 133652,15h 06m 33.21s,-30° 55′ 06.3″,5.96,Lupus
HD 134255,15h 10m 07.34s,-38° 47′ 32.9″,5.98,Lupus
HD 125869,14h 23m 48.64s,-53° 10′ 34.4″,5.99,Lupus
HD 143790,16h 03m 34.38s,-32° 00′ 01.7″,6.0,Lupus
HD 140901,15h 47m 29.41s,-37° 54′ 56.9″,6.01,Lupus
HD 125810,14h 23m 20.26s,-50° 46′ 20.0″,6.03,Lupus
HD 142448,15h 56m 06.84s,-39° 51′ 51.6″,6.04,Lupus
HD 135348,15h 16m 10.47s,-43° 29′ 05.9″,6.05,Lupus
HD 139271,15h 38m 42.17s,-39° 07′ 39.9″,6.05,Lupus
HD 128582,14h 39m 11.01s,-46° 35′ 02.2″,6.06,Lupus
HX Lupi,14h 22m 38.72s,-48° 19′ 11.4″,6.06,Lupus
HD 129932,14h 47m 12.59s,-52° 12′ 18.9″,6.07,Lupus
HD 134837,15h 13m 07.68s,-36° 05′ 28.9″,6.09,Lupus
HD 132242,14h 59m 27.20s,-43° 09′ 35.3″,6.1,Lupus
HD 137465,15h 28m 27.21s,-51° 35′ 52.5″,6.1,Lupus
HD 143902,16h 04m 17.84s,-33° 12′ 49.1″,6.12,Lupus
HD 135896,15h 18m 41.31s,-31° 12′ 33.6″,6.18,Lupus
HD 136014,15h 19m 31.78s,-37° 05′ 48.5″,6.19,Lupus
HD 136334,15h 21m 35.31s,-40° 44′ 57.9″,6.21,Lupus
HD 139599,15h 40m 58.26s,-47° 44′ 09.6″,6.21,Lupus
HD 142407,15h 55m 30.52s,-31° 05′ 01.3″,6.21,Lupus
HD 143248,16h 00m 53.70s,-40° 26′ 08.0″,6.21,Lupus
HD 137919,15h 30m 21.31s,-41° 55′ 08.3″,6.23,Lupus
HD 138204,15h 32m 04.22s,-38° 37′ 20.5″,6.23,Lupus
HD 138923,15h 36m 11.38s,-33° 05′ 33.9″,6.26,Lupus
HD 133550,15h 06m 13.95s,-36° 15′ 52.5″,6.27,Lupus
HD 142542,15h 56m 14.00s,-31° 47′ 09.2″,6.29,Lupus
HD 130073,14h 47m 32.11s,-43° 33′ 24.4″,6.3,Lupus
HD 135730,15h 18m 09.39s,-41° 03′ 40.1″,6.3,Lupus
HD 142889,15h 58m 30.81s,-37° 30′ 13.8″,6.31,Lupus
HD 134597,15h 12m 31.23s,-48° 13′ 08.0″,6.32,Lupus
HD 143404,16h 01m 19.55s,-31° 53′ 20.9″,6.33,Lupus
HD 131923,14h 58m 08.81s,-48° 51′ 43.9″,6.34,Lupus
HD 139613,15h 40m 15.56s,-31° 12′ 49.3″,6.35,Lupus
HD 138564,15h 34m 20.87s,-39° 20′ 56.8″,6.36,Lupus
HD 128617,14h 39m 24.64s,-49° 03′ 18.1″,6.37,Lupus
GM Lupi,15h 04m 42.90s,-40° 51′ 40.5″,6.38,Lupus
HD 141832,15h 52m 12.89s,-29° 53′ 10.8″,6.38,Lupus
HD 126759,14h 28m 51.93s,-47° 59′ 31.3″,6.4,Lupus
HD 133518,15h 06m 55.97s,-52° 01′ 47.1″,6.4,Lupus
HD 138395,15h 33m 24.29s,-40° 29′ 26.5″,6.4,Lupus
HD 125809,14h 23m 15.36s,-47° 25′ 01.0″,6.41,Lupus
HD 140861,15h 47m 25.64s,-40° 11′ 38.8″,6.41,Lupus
HD 126093,14h 24m 40.84s,-44° 18′ 39.7″,6.43,Lupus
HD 129624,14h 45m 18.85s,-51° 18′ 53.6″,6.44,Lupus
HD 134444,15h 11m 34.82s,-45° 16′ 39.0″,6.44,Lupus
HD 135468,15h 16m 55.08s,-46° 12′ 08.3″,6.44,Lupus
HD 137785,15h 29m 19.30s,-38° 38′ 05.4″,6.44,Lupus
HD 135430,15h 16m 51.84s,-47° 51′ 52.2″,6.46,Lupus
HD 133469,15h 05m 33.90s,-30° 33′ 03.8″,6.48,Lupus
HD 133399,15h 06m 02.42s,-48° 53′ 00.1″,6.48,Lupus
HD 128154,14h 37m 12.43s,-53° 03′ 38.7″,6.49,Lupus
HD 136607,15h 23m 25.00s,-46° 08′ 25.4″,6.49,Lupus
HD 138221,15h 31m 50.24s,-32° 52′ 51.8″,6.49,Lupus
HIP 74890,15h 18m 17.0s,-41° 25′ 14″,7.05,Lupus
HD 126525,14h 27m 33s,-51° 55′ 59″,7.85,Lupus
HD 141943,15h 53m 27.30s,-42° 16′ 00.7″,7.98,Lupus
HD 142527,15h 56m 41.89s,-42° 19′ 23.3″,8.34,Lupus
EX Lupi,16h 03m 05.49s,-40° 18′ 25.4″,8.5,Lupus
SAO 206462,15h 15m 48.44s,-37° 09′ 16.0″,8.71,Lupus
HD 135778,15h 17m 56.0s,-30° 28′ 41″,9.0,Lupus
FW Lupi,15h 22m 25.38s,-40° 55′ 36.2″,9.05,Lupus
Gliese 588,15h 32m 12.93s,-41° 16′ 32.1″,9.31,Lupus
FT Lupi,14h 59m 52.69s,-42° 58′ 59.1″,9.82,Lupus
RY Lupi,15h 59m 28.38s,-40° 21′ 51.3″,10.2,Lupus
HIP 70849,14h 29m 18.56s,-46° 27′ 49.7″,10.4,Lupus
RU Lupi,15h 56m 42.31s,-37° 49′ 15.5″,10.51,Lupus
GQ Lupi,15h 49m 12.14s,-35° 39′ 04.0″,11.4,Lupus
He 2-113,14h 59m 53.48s,-54° 18′ 07.5″,11.88,Lupus
WASP-132,14h 30m 26.0s,-46° 09′ 33″,12.4,Lupus
NY Lupi,15h 48m 14.60s,-45° 28′ 39.9″,14.5,Lupus
SSSPM J1549-3544,15h 48m 40.23s,-35° 44′ 25.5″,14.78,Lupus
4U 1543-47,15h 47m 08.6s,-40° 40′ 10″,14.9,Lupus
Lupus-TR-3,15h 30m 18.67s,-42° 28′ 46.5″,17.4,Lupus
Alpha Lyncis,09h 21m 03.46s,+34° 23′ 33.1″,3.14,Lynx
38 Lyncis,09h 18m 50.67s,+36° 48′ 10.4″,3.82,Lynx
10 Ursae Majoris,09h 00m 38.75s,+41° 47′ 00.4″,3.96,Lynx
31 Lyncis,08h 22m 50.13s,+43° 11′ 18.1″,4.25,Lynx
15 Lyncis,06h 57m 16.60s,+58° 25′ 23.0″,4.35,Lynx
2 Lyncis,06h 19m 37.39s,+59° 00′ 39.3″,4.44,Lynx
HD 77912,09h 06m 31.79s,+38° 27′ 08.1″,4.56,Lynx
21 Lyncis,07h 26m 42.86s,+49° 12′ 41.9″,4.61,Lynx
27 Lyncis,08h 08m 27.50s,+51° 30′ 24.0″,4.78,Lynx
HD 82741,09h 35m 03.85s,+39° 37′ 17.2″,4.81,Lynx
12 Lyncis,06h 46m 14.15s,+59° 26′ 30.1″,4.86,Lynx
16 Lyncis,06h 57m 37.12s,+45° 05′ 38.8″,4.9,Lynx
24 Lyncis,07h 43m 00.46s,+58° 42′ 37.8″,4.93,Lynx
1 Lyncis,06h 17m 54.83s,+61° 30′ 55.1″,4.95,Lynx
HD 56169,07h 18m 31.98s,+49° 27′ 53.1″,5.0,Lynx
35 Lyncis,08h 51m 56.84s,+43° 43′ 35.4″,5.15,Lynx
DU Lyncis,07h 46m 39.26s,+37° 31′ 02.5″,5.18,Lynx
18 Lyncis,07h 15m 55.02s,+59° 38′ 17.1″,5.2,Lynx
5 Lyncis,06h 26m 48.88s,+58° 25′ 02.7″,5.21,Lynx
42 Lyncis,09h 38m 21.79s,+40° 14′ 23.2″,5.28,Lynx
50 Camelopardalis,07h 44m 04.19s,+50° 26′ 01.9″,5.31,Lynx
36 Lyncis,09h 13m 48.23s,+43° 13′ 04.5″,5.32,Lynx
13 Lyncis,06h 46m 49.49s,+57° 10′ 09.4″,5.34,Lynx
14 Lyncis,06h 53m 05.06s,+59° 26′ 55.2″,5.34,Lynx
22 Lyncis,07h 29m 55.86s,+49° 40′ 21.6″,5.35,Lynx
34 Lyncis,08h 41m 01.05s,+45° 50′ 01.6″,5.35,Lynx
UY Lyncis,07h 13m 23.39s,+51° 25′ 43.4″,5.47,Lynx
26 Lyncis,07h 54m 42.74s,+47° 33′ 52.5″,5.47,Lynx
HD 70313,08h 23m 48.53s,+53° 13′ 11.8″,5.52,Lynx
RR Lyncis,06h 26m 25.86s,+56° 17′ 06.2″,5.53,Lynx
HD 48766,06h 48m 12.23s,+55° 42′ 16.0″,5.54,Lynx
HD 55575,07h 15m 50.11s,+47° 14′ 25.5″,5.54,Lynx
HD 61363,07h 41m 12.45s,+48° 07′ 54.7″,5.58,Lynx
43 Lyncis,09h 42m 00.38s,+39° 45′ 28.7″,5.61,Lynx
29 Lyncis,08h 17m 50.42s,+59° 34′ 16.1″,5.63,Lynx
HD 60437,07h 36m 31.66s,+46° 10′ 49.3″,5.66,Lynx
HD 58661,07h 28m 51.49s,+48° 11′ 02.5″,5.7,Lynx
HD 76291,08h 56m 50.06s,+45° 37′ 54.3″,5.72,Lynx
HD 56963,07h 21m 17.54s,+45° 13′ 41.4″,5.74,Lynx
33 Lyncis,08h 34m 43.90s,+36° 25′ 11.0″,5.76,Lynx
HD 61294,07h 40m 14.72s,+38° 20′ 40.4″,5.77,Lynx
HD 65301,08h 01m 20.75s,+59° 02′ 50.3″,5.78,Lynx
19 Lyncis,07h 22m 52.06s,+55° 16′ 53.3″,5.8,Lynx
HD 57646,07h 24m 57.08s,+51° 53′ 14.4″,5.8,Lynx
6 Lyncis,06h 30m 47.14s,+58° 09′ 48.4″,5.86,Lynx
11 Lyncis,06h 37m 38.40s,+56° 51′ 27.0″,5.87,Lynx
HD 68077,08h 13m 50.20s,+56° 27′ 08.3″,5.88,Lynx
HD 72184,08h 32m 55.06s,+38° 01′ 00.4″,5.88,Lynx
30 Lyncis,08h 20m 26.00s,+57° 44′ 35.7″,5.89,Lynx
HD 76292,08h 56m 30.58s,+40° 12′ 05.6″,5.9,Lynx
HD 67224,08h 10m 03.80s,+58° 14′ 54.3″,5.91,Lynx
HD 55866,07h 17m 33.72s,+52° 07′ 52.0″,5.93,Lynx
HD 60294,07h 36m 47.05s,+55° 45′ 18.6″,5.93,Lynx
HD 60652,07h 37m 53.88s,+48° 46′ 26.1″,5.93,Lynx
8 Lyncis,06h 37m 41.64s,+61° 28′ 54.8″,5.94,Lynx
HD 80024,09h 18m 25.94s,+35° 21′ 50.9″,5.94,Lynx
HD 78366,09h 08m 51.20s,+33° 52′ 57.0″,5.95,Lynx
HD 75523,08h 52m 11.78s,+45° 18′ 46.4″,5.96,Lynx
HD 75556,08h 52m 10.05s,+42° 00′ 10.4″,5.98,Lynx
19 Ursae Majoris,09h 15m 14.36s,+34° 38′ 00.2″,5.98,Lynx
HD 70647,08h 24m 42.77s,+42° 00′ 18.8″,6.02,Lynx
HD 50551,06h 57m 13.12s,+57° 33′ 47.7″,6.03,Lynx
HD 63332,07h 51m 05.75s,+54° 07′ 44.8″,6.03,Lynx
4 Lyncis,06h 22m 03.56s,+59° 22′ 19.6″,6.05,Lynx
HD 70771,08h 25m 04.90s,+35° 00′ 41.2″,6.08,Lynx
23 Lyncis,07h 40m 49.56s,+57° 04′ 58.4″,6.09,Lynx
HD 80441,09h 20m 59.40s,+38° 11′ 17.9″,6.12,Lynx
CY Lyncis,08h 53m 55.70s,+35° 32′ 18.0″,6.14,Lynx
HD 52859,07h 05m 39.83s,+52° 45′ 31.3″,6.17,Lynx
HD 71906,08h 31m 19.98s,+37° 15′ 54.1″,6.18,Lynx
32 Lyncis,08h 33m 21.84s,+36° 26′ 11.1″,6.2,Lynx
HD 76944,09h 00m 30.81s,+37° 36′ 15.7″,6.21,Lynx
5 Leonis Minoris,08h 50m 32.27s,+33° 17′ 06.9″,6.22,Lynx
HD 64491,07h 55m 40.87s,+35° 24′ 45.9″,6.23,Lynx
HD 71952,08h 32m 33.44s,+53° 06′ 54.1″,6.23,Lynx
25 Lyncis,07h 54m 29.28s,+47° 23′ 09.5″,6.25,Lynx
HD 67370,08h 09m 23.06s,+42° 25′ 50.8″,6.26,Lynx
HD 69149,08h 18m 15.81s,+54° 08′ 37.6″,6.26,Lynx
HD 47979,06h 44m 11.48s,+53° 17′ 47.1″,6.28,Lynx
HD 71148,08h 27m 36.80s,+45° 39′ 13.8″,6.32,Lynx
HD 60654,07h 37m 17.81s,+40° 01′ 31.8″,6.34,Lynx
HD 65801,08h 01m 55.20s,+35° 24′ 47.1″,6.34,Lynx
